Comment,values,Toxicity,Severe Toxicity,Identity Attack,Insult,Profanity,Threat
Needs to stay War Memorial.,0,0.2764734,0.1876656,0.2126739,0.17077151,0.13517624,0.6547422
Name it what you want.....it will always be War Memorial!,0,0.31940153,0.21081,0.16770644,0.19096686,0.11284123,0.7615272
No one is above the law. Truth matters.,0,0.04299651,0.009128315,0.020019876,0.023138577,0.007629749,0.024086494
Poor guy! Thatâ€™s just awful. Prayers for her family!,0,0.3372036,0.10416776,0.20058358,0.43418798,0.08471521,0.06931813
Great news!,0,0.0376969,0.018194104,0.031698965,0.017426733,0.022241354,0.07016558
Small numbers of test subjects. No long term data. For a cold that is less dangerous to kids then the flu.,1,0.111551166,0.04611053,0.047280926,0.08198252,0.05674988,0.22460186
Good. Tired of hearing about this case. There are horrific crimes everyday. I fail to understand why this one was so important.,1,0.12353452,0.04637993,0.0588801,0.119181976,0.05154782,0.11630664
Keep it away from my kids. We all have antibodies we don't need a man made chemical injected into our body for a virus with a 99% survival rate.,1,0.23127103,0.11020164,0.15990558,0.1374764,0.08225468,0.32488525
She cant hide those lying eyes!,1,0.59836775,0.26759434,0.1842182,0.660731,0.31170258,0.20499355
"The crime in Pine Bluff has always been bad, but this seems like a new low. Something needs to be done there.",1,0.15240628,0.06472304,0.107710145,0.13499397,0.0766937,0.24674521
